@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
10,3,None,None,East,West,East,True,True,True,True,5,4,4,14,9,7,10,7,10,7,18,9,67,1,98,East
11,3,North,None,East,West,East,True,True,True,True,6,4,5,12,9,7,11,7,10,7,17,9,66,1,197,East
11,4,North,South,None,None,North,True,True,True,True,6,4,5,10,9,8,10,7,9,7,16,9,66,2,196,North
11,5,None,South,None,West,North,True,True,True,True,6,3,5,9,9,9,10,7,8,7,16,9,66,2,195,North
10,5,None,None,East,West,West,True,True,True,True,4,2,4,11,10,9,10,7,8,7,17,9,66,3,194,West
9,5,North,None,East,West,West,True,True,True,True,4,2,4,13,9,9,9,7,7,7,18,9,66,3,193,West
9,6,North,South,None,None,North,True,True,True,True,2,2,4,12,9,8,10,7,6,7,18,9,66,2,192,North
9,7,North,South,East,West,North,True,True,True,True,2,1,4,10,9,9,10,7,6,8,17,9,66,1,191,North
9,8,North,South,East,None,North,True,False,True,True,2,1000,4,8,10,9,3,1,6,9,16,9,65,1,490,North
10,8,North,South,None,West,East,True,False,True,True,2,1000,4,8,9,9,3,1,7,9,17,9,64,1,589,East
10,8,North,South,None,West,East,True,False,True,True,1,1000,4,9,9,8,3,1,7,9,18,9,64,1,588,Stop
9,8,North,South,East,None,West,False,False,True,True,1000,1000,4,9,1,1,3,1,6,9,17,9,64,1,787,West
9,9,None,South,East,West,North,False,False,True,True,1000,1000,2,7,1,1,3,1,7,9,16,9,63,1,886,North
8,9,None,None,East,West,West,False,False,True,True,1000,1000,2,8,1,1,3,1,6,9,16,9,62,1,985,West
7,9,None,None,East,West,West,False,False,True,True,1000,1000,1,9,1,1,3,1,6,9,16,9,61,1,1084,West
6,9,None,South,East,None,West,False,False,True,True,1000,1000,1,10,1,1,3,1,6,8,16,9,60,1,1183,West
7,9,None,None,East,West,East,False,False,True,True,1000,1000,2,10,1,1,3,1,6,8,17,9,60,2,1182,East
